Mnémonique;Signification;Type;Longueur;Contrainte
plane_ registration_number;Immatriculation de l’avion.;N;11;Identifiant
plane_purchase_date;Date d’achat de l’avion.;D;;Obligatoire
plane _name;Nom de l’avion.;A;32;Obligatoire
plane _constructor_name;Nom du constructeur de l’avion.;A;32;Obligatoire
plane_ engine_power;Puissance du moteur de l’avion.;AN;32;Obligatoire
plane_place_number;Nombre de place dans l’avion;N;11;Obligatoire
owner_id;Identifiant du propriétaire.;N;11;Identifiant
owner_type;Type de propriétaire.;A;16;Obligatoire
owner_lastname;Nom du propriétaire.;A;48;Obligatoire
owner_firdtname;Prénom du propriétaire.;A;48;Facultatif
owner_address;Adresse du propriétaire.;AN;255;Obligatoire
owner_phone_number;Numéro de tel du propriétaire.;N;11;Obligatoire
mechanic_id;Identification du mécanicien dans le programme.;N;11;Identifiant
mechanic_role;Rôle que jouera le mécanicien dans l’intervention.;A;16;Obligatoire
mechanic_firstname;Prénom du mécanicien.;A;48;Obligatoire
mechanic_lastname;Nom du mécanicien.;A;48;Obligatoire
mechanic_address;Adresse du mécanicien.;AN;255;Obligatoire
mechanic_phone_number;Numéro de tel du mécanicien.;N;11;Obligatoire
mechanic_hability;Type d’avion que le mécanicien est habilité à réparer.;A;32;Obligatoire
Intervention_id;Identification de l’intervention dans le programme.;N;11;Identifiant
intervention_object;Objet de l’intervention.;A;255;Obligatoire
intervention_date;Date de l’intervention.;D;;Obligatoire
intervention_time;Durée de l’intervention.;T;;Obligatoire
pilot_id;Identifiant du pilote dans le programme.;N;11;Identifiant
pilot_firstname;Prénom du pilote.;A;48;Obligatoire
pilot_lastname;Nom du pilote.;A;48;Obligatoire
pilot_phone_number;Numéro de tel du pilote.;N;11;Obligatoire
pilot_licence_number;Numéro de licence du pilote.;AN;32;Obligatoire
pilot_ number_of_flights;Nombre de vol sur un appareil précis par pilote.;N;11;Obligatoire
pilot_hability;Type d’avion que le pilote est habilité a piloté.;A;32;Obligatoire
